"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","318,857,056","*****"
"    Male:","156,890,101","±27,214"
"        Under 5 years","10,117,103","±14,351"
"        5 to 9 years","10,511,796","±34,843"
"        10 to 14 years","10,596,279","±31,843"
"        15 to 17 years","6,390,741","±14,826"
"        18 and 19 years","4,550,073","±18,486"
"        20 years","2,416,850","±24,462"
"        21 years","2,375,223","±26,337"
"        22 to 24 years","6,830,222","±30,891"
"        25 to 29 years","11,070,617","±19,538"
"        30 to 34 years","10,765,544","±16,343"
"        35 to 39 years","10,001,134","±46,125"
"        40 to 44 years","10,273,647","±44,004"
"        45 to 49 years","10,309,499","±15,396"
"        50 to 54 years","11,049,751","±14,983"
"        55 to 59 years","10,333,822","±35,850"
"        60 and 61 years","3,811,110","±25,070"
"        62 to 64 years","5,174,218","±30,360"
"        65 and 66 years","3,217,874","±20,423"
"        67 to 69 years","4,010,030","±21,869"
"        70 to 74 years","5,125,062","±21,460"
"        75 to 79 years","3,523,217","±18,340"
"        80 to 84 years","2,393,854","±16,995"
"        85 years and over","2,042,435","±18,071"
"    Female:","161,966,955","±27,214"
"        Under 5 years","9,655,907","±15,087"
"        5 to 9 years","10,051,779","±40,563"
"        10 to 14 years","10,153,522","±37,900"
"        15 to 17 years","6,100,296","±14,412"
"        18 and 19 years","4,305,907","±21,000"
"        20 years","2,256,243","±25,137"
"        21 years","2,254,759","±23,379"
"        22 to 24 years","6,564,732","±31,559"
"        25 to 29 years","10,768,567","±15,348"
"        30 to 34 years","10,718,371","±15,681"
"        35 to 39 years","10,028,151","±36,258"
"        40 to 44 years","10,448,427","±41,770"
"        45 to 49 years","10,523,987","±13,875"
"        50 to 54 years","11,470,040","±11,841"
"        55 to 59 years","10,980,866","±33,042"
"        60 and 61 years","4,120,156","±30,628"
"        62 to 64 years","5,662,824","±31,040"
"        65 and 66 years","3,571,906","±21,749"
"        67 to 69 years","4,459,751","±24,953"
"        70 to 74 years","6,033,581","±27,905"
"        75 to 79 years","4,418,908","±23,749"
"        80 to 84 years","3,414,740","±20,916"
"        85 years and over","4,003,535","±23,363"
